time,pm2_5_r,pm10_r,device_id,so2_nv,no2_nv,o3_nv,co_nv
2024-06-10 11:15:10,3,4,1210230117,28,-11,22.0,92
2024-06-10 11:15:39,4,5,1210230117,25,-15,21.0,118
2024-06-10 11:16:09,5,5,1210230117,27,-14,18.0,114
2024-06-10 11:16:39,5,5,1210230117,25,-11,26.0,108
2024-06-10 11:17:09,5,6,1210230117,29,-9,26.0,104
2024-06-10 11:17:39,3,3,1210230117,30,-12,20.0,85
2024-06-10 11:18:09,3,4,1210230117,24,-12,22.0,82
2024-06-10 11:18:39,3,4,1210230117,25,-11,24.0,80
2024-06-10 11:19:09,1,2,1210230117,20,-13,25.0,76
2024-06-10 11:19:39,2,3,1210230117,22,-14,23.0,88
2024-06-10 11:20:10,3,3,1210230117,24,-16,19.0,82
2024-06-10 11:20:40,3,4,1210230117,24,-12,24.0,73
2024-06-10 11:21:10,3,4,1210230117,24,-11,24.0,83
2024-06-10 11:21:40,5,5,1210230117,24,-15,25.0,78
2024-06-10 11:22:10,3,3,1210230117,26,-15,22.0,70
2024-06-10 11:22:40,2,2,1210230117,23,-11,25.0,82
2024-06-10 11:23:10,3,3,1210230117,24,-15,17.0,93
2024-06-10 11:23:40,5,5,1210230117,27,-14,21.0,101
2024-06-10 11:24:10,4,5,1210230117,25,-16,24.0,79
2024-06-10 11:24:40,5,5,1210230117,23,-14,25.0,105
2024-06-10 11:25:10,4,6,1210230117,24,-11,24.0,99
2024-06-10 11:25:40,4,4,1210230117,23,-12,23.0,113
2024-06-10 11:26:10,4,5,1210230117,27,-13,22.0,103
2024-06-10 11:26:40,3,4,1210230117,24,-11,23.0,106
2024-06-10 11:27:10,3,3,1210230117,26,-11,20.0,119
2024-06-10 11:27:42,6,6,1210230117,28,-12,19.0,111
2024-06-10 11:28:12,3,3,1210230117,25,-10,22.0,85
2024-06-10 11:28:42,2,3,1210230117,21,-17,18.0,102
2024-06-10 11:29:12,3,4,1210230117,24,-15,20.0,79
2024-06-10 11:29:42,4,4,1210230117,28,-9,22.0,87
2024-06-10 11:15:08,0,2,1210230136,45,2,15.0,47
2024-06-10 11:15:38,0,2,1210230136,41,-1,13.0,56
2024-06-10 11:16:08,0,1,1210230136,43,4,14.0,52
2024-06-10 11:16:38,0,2,1210230136,46,-4,9.0,49
2024-06-10 11:17:08,0,3,1210230136,45,0,11.0,53
2024-06-10 11:17:38,1,2,1210230136,45,2,8.0,48
2024-06-10 11:18:08,0,0,1210230136,48,-6,10.0,58
2024-06-10 11:18:38,0,0,1210230136,43,4,18.0,57
2024-06-10 11:19:08,0,0,1210230136,41,-3,6.0,54
2024-06-10 11:19:38,0,2,1210230136,40,2,20.0,50
2024-06-10 11:20:08,0,0,1210230136,48,-3,12.0,49
2024-06-10 11:20:38,0,0,1210230136,47,0,10.0,47
2024-06-10 11:21:08,0,2,1210230136,44,-5,3.0,42
2024-06-10 11:21:38,0,1,1210230136,48,2,11.0,55
2024-06-10 11:25:08,2,3,1210230136,47,-4,9.0,55
2024-06-10 11:25:38,1,2,1210230136,41,0,10.0,52
2024-06-10 11:26:08,0,1,1210230136,48,1,5.0,56
2024-06-10 11:26:39,1,2,1210230136,45,1,12.0,50
2024-06-10 11:27:09,2,3,1210230136,44,-2,9.0,55
2024-06-10 11:27:39,1,2,1210230136,42,-1,5.0,57
2024-06-10 11:28:09,0,1,1210230136,47,0,8.0,54
2024-06-10 11:28:39,0,2,1210230136,44,1,9.0,55
2024-06-10 11:29:09,1,3,1210230136,40,1,12.0,56
2024-06-10 11:29:39,1,3,1210230136,40,-7,3.0,58
2024-06-10 11:15:29,2,1,1210230137,20,-2,6.0,191
2024-06-10 11:15:59,1,0,1210230137,20,-2,4.0,149
2024-06-10 11:16:29,3,3,1210230137,20,-2,6.0,185
2024-06-10 11:16:59,1,0,1210230137,21,-3,1.0,171
2024-06-10 11:17:29,3,2,1210230137,23,0,5.0,215
2024-06-10 11:17:59,2,1,1210230137,17,-2,5.0,140
2024-06-10 11:18:29,1,1,1210230137,21,-1,4.0,150
2024-06-10 11:18:59,1,2,1210230137,25,-3,3.0,153
2024-06-10 11:19:29,3,3,1210230137,18,-3,4.0,171
2024-06-10 11:20:00,2,1,1210230137,21,-1,9.0,193
2024-06-10 11:20:30,3,2,1210230137,20,-3,4.0,176
2024-06-10 11:21:00,0,0,1210230137,19,-5,4.0,137
2024-06-10 11:21:30,0,0,1210230137,18,-3,4.0,125
2024-06-10 11:22:00,2,1,1210230137,23,-6,2.0,128
2024-06-10 11:22:30,1,0,1210230137,23,-3,8.0,109
2024-06-10 11:23:00,1,2,1210230137,22,-5,4.0,110
2024-06-10 11:23:30,1,0,1210230137,18,-4,3.0,96
2024-06-10 11:23:59,6,9,1210230137,24,-4,3.0,146
2024-06-10 11:24:29,4,3,1210230137,21,-5,3.0,165
2024-06-10 11:24:59,2,1,1210230137,19,-3,6.0,105
2024-06-10 11:25:29,2,1,1210230137,21,-6,2.0,112
2024-06-10 11:25:59,0,1,1210230137,24,-3,7.0,228
2024-06-10 11:26:29,1,2,1210230137,20,-2,5.0,205
2024-06-10 11:26:59,9,8,1210230137,31,2,8.0,358
2024-06-10 11:27:29,1,0,1210230137,23,0,3.0,309
2024-06-10 11:27:59,1,0,1210230137,21,-3,4.0,205
2024-06-10 11:28:30,1,0,1210230137,21,-3,3.0,145
2024-06-10 11:29:00,1,0,1210230137,24,-2,2.0,176
2024-06-10 11:29:30,0,0,1210230137,17,-3,8.0,123
2024-06-10 11:30:00,1,0,1210230137,19,-2,5.0,125
